timestamp,Baden-Wuerttemberg,Bayern,Brandenburg,Brandenburg/Berlin,Deutschland,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thueringen,Thueringen/Sachsen-Anhalt
1881-01-15 00:00:00,-4.89,-6.51,-5.56,-5.54,-5.36,-5.68,-5.07,-4.55,-4.55,-4.21,-4.49,-4.15,-6.22,-5.89,-4.06,-6.76,-6.28
1881-02-15 00:00:00,1.33,-0.73,-1.01,-1.0,-0.1,0.75,-2.01,-0.05,-0.07,1.64,1.45,2.25,-0.92,-0.42,-1.81,-0.25,-0.34
1881-03-15 00:00:00,4.42,2.5,1.7,1.71,2.61,3.43,0.4,2.2,2.19,3.81,4.49,5.37,1.79,2.2,0.54,2.14,2.18
1881-04-15 00:00:00,6.63,5.01,5.55,5.56,5.55,5.88,4.63,5.64,5.64,6.44,6.65,7.08,4.41,5.51,5.02,4.43,5.04
1881-05-15 00:00:00,11.44,10.99,12.83,12.85,11.81,12.15,11.58,12.03,12.03,12.55,12.25,12.38,11.49,12.57,11.16,11.4,12.05
1881-06-15 00:00:00,15.3,14.65,15.71,15.73,15.08,15.3,15.08,14.9,14.9,15.37,15.56,15.83,14.52,15.46,14.8,14.59,15.07
1881-07-15 00:00:00,19.08,18.4,19.16,19.19,18.6,18.77,17.92,18.4,18.4,19.04,19.01,19.29,18.25,19.09,17.45,18.04,18.62
1881-08-15 00:00:00,16.7,16.11,16.47,16.48,15.9,15.8,15.37,15.42,15.42,15.58,16.14,16.46,15.83,16.08,15.16,15.21,15.7
1881-09-15 00:00:00,11.71,11.22,12.67,12.69,12.06,11.98,12.39,12.56,12.56,12.76,12.15,12.19,11.53,12.39,12.72,11.35,11.93
1881-10-15 00:00:00,4.47,4.08,5.53,5.55,4.99,4.75,5.93,5.53,5.54,5.6,5.08,5.21,4.28,5.17,6.33,4.15,4.72
1881-11-15 00:00:00,5.62,4.0,5.99,6.01,5.67,5.93,5.63,6.51,6.5,7.21,6.36,6.48,5.11,6.08,5.92,5.26,5.72
1881-12-15 00:00:00,0.09,-0.36,1.39,1.41,0.92,0.81,1.61,1.92,1.93,1.85,0.95,0.97,0.5,1.31,2.22,0.41,0.91
1882-01-15 00:00:00,-0.65,-1.33,1.42,1.43,0.41,-0.3,1.59,1.73,1.73,1.26,-0.17,-0.04,0.63,1.18,2.11,-0.12,0.6
1882-02-15 00:00:00,0.72,-0.6,2.05,2.06,1.54,1.44,2.01,3.03,3.03,3.07,1.68,2.24,1.43,2.24,2.74,1.33,1.84
1882-03-15 00:00:00,5.88,4.87,6.42,6.44,5.96,6.07,5.57,6.53,6.53,6.85,6.25,6.84,5.93,6.55,5.81,5.76,6.2
1882-04-15 00:00:00,7.92,6.92,8.23,8.25,7.71,7.77,7.4,8.07,8.08,8.47,8.1,8.37,7.2,8.15,7.52,7.0,7.64
1882-05-15 00:00:00,12.11,11.63,12.19,12.21,11.96,11.87,11.44,12.26,12.26,12.53,12.3,12.63,11.34,12.32,11.88,11.19,11.82
1882-06-15 00:00:00,14.06,13.59,15.04,15.05,14.34,14.12,14.92,14.74,14.75,14.53,14.33,14.51,13.77,14.94,15.05,13.8,14.44
1882-07-15 00:00:00,15.65,15.77,18.39,18.41,16.76,16.32,17.91,17.25,17.26,16.87,16.1,16.15,17.02,17.85,17.56,16.21,17.13
1882-08-15 00:00:00,14.84,14.03,15.88,15.89,14.89,14.63,15.73,15.14,15.15,15.05,15.05,15.34,14.36,15.26,15.68,13.92,14.67
1882-09-15 00:00:00,12.07,11.97,14.73,14.75,13.14,12.62,14.47,13.66,13.67,13.34,12.73,12.83,13.47,13.96,14.2,12.43,13.28
1882-10-15 00:00:00,9.13,8.33,8.84,8.84,8.88,9.11,8.41,9.03,9.03,9.68,9.61,9.73,8.49,8.89,9.16,8.24,8.6
1882-11-15 00:00:00,4.27,3.17,3.99,4.01,3.9,4.27,3.37,4.13,4.13,4.7,4.81,4.9,3.44,3.95,3.6,3.39,3.7
1882-12-15 00:00:00,0.95,-0.41,0.49,0.5,0.58,1.04,-0.34,0.93,0.92,2.01,1.83,1.93,0.32,0.46,0.08,0.12,0.31
1883-01-15 00:00:00,-0.09,-1.49,-0.42,-0.41,-0.32,0.04,-0.69,0.33,0.32,1.27,0.49,0.55,-1.2,-0.39,-0.12,-1.07,-0.69
1883-02-15 00:00:00,2.73,0.88,1.62,1.63,2.3,2.91,1.64,3.31,3.31,4.17,3.42,3.95,1.06,2.12,2.46,1.93,2.03
1883-03-15 00:00:00,-0.81,-2.37,-2.18,-2.16,-1.66,-1.48,-2.23,-1.17,-1.16,-0.46,-0.74,-0.01,-3.02,-2.02,-1.06,-2.9,-2.41
1883-04-15 00:00:00,6.79,5.23,5.93,5.94,6.06,6.39,5.29,6.49,6.49,7.36,7.22,7.66,4.88,5.97,5.93,4.81,5.46
1883-05-15 00:00:00,12.55,11.99,12.83,12.84,12.38,12.36,11.89,12.45,12.45,12.87,12.62,13.12,11.94,12.95,11.96,12.06,12.55
1883-06-15 00:00:00,15.72,15.47,17.36,17.38,16.23,16.33,16.32,16.26,16.26,16.52,16.4,16.58,16.52,17.23,15.92,16.07,16.72
1883-07-15 00:00:00,15.99,15.86,18.27,18.29,16.66,16.22,17.69,16.83,16.84,16.44,16.16,16.24,17.08,17.61,17.17,16.1,16.94
1883-08-15 00:00:00,15.89,15.16,16.89,16.9,15.9,15.9,15.98,15.97,15.97,16.15,16.13,16.44,15.87,16.59,15.83,15.36,16.04
1883-09-15 00:00:00,12.77,12.61,14.75,14.76,13.36,12.98,14.03,13.51,13.52,13.44,13.05,13.11,13.75,14.21,13.6,12.83,13.6
1883-10-15 00:00:00,7.67,7.05,9.55,9.56,8.53,8.36,9.19,9.39,9.4,9.35,8.39,8.39,8.57,9.33,9.4,8.23,8.84
1883-11-15 00:00:00,4.03,2.79,4.91,4.92,4.32,4.44,4.59,5.17,5.17,5.32,4.72,4.82,3.9,4.86,4.88,3.93,4.45
1883-12-15 00:00:00,-0.03,-1.01,1.39,1.4,0.84,1.06,1.68,2.09,2.09,2.04,1.28,1.27,0.14,1.32,2.16,0.32,0.88
1884-01-15 00:00:00,2.34,1.22,3.34,3.35,2.86,2.97,3.16,3.99,3.99,4.17,3.24,3.24,2.39,3.32,3.56,2.43,2.93
1884-02-15 00:00:00,2.55,1.19,2.88,2.89,2.66,2.56,2.78,3.65,3.65,4.03,2.91,3.54,2.16,2.99,3.33,2.13,2.61
1884-03-15 00:00:00,5.01,3.73,4.43,4.44,4.65,5.07,3.91,5.21,5.21,5.86,5.33,5.93,4.1,4.79,4.42,4.19,4.53
1884-04-15 00:00:00,6.53,5.56,6.12,6.13,6.06,6.18,5.54,6.37,6.37,6.93,6.59,6.96,5.19,6.1,5.89,5.15,5.68
1884-05-15 00:00:00,12.96,12.41,13.31,13.32,12.67,12.61,12.12,12.56,12.56,12.99,12.91,13.23,12.68,13.2,11.79,12.15,12.73
1884-06-15 00:00:00,12.72,12.1,14.25,14.26,13.09,12.88,13.82,13.28,13.29,13.35,13.35,13.7,12.91,13.77,13.69,12.51,13.21
1884-07-15 00:00:00,18.26,17.7,19.17,19.19,18.2,18.18,18.08,18.1,18.11,18.35,18.63,18.81,18.32,18.69,17.83,17.47,18.15
1884-08-15 00:00:00,17.27,16.24,17.52,17.54,17.01,16.97,17.05,17.23,17.23,17.66,17.57,17.99,16.53,17.25,17.06,16.02,16.71
1884-09-15 00:00:00,13.58,13.0,15.32,15.34,14.25,14.0,15.1,14.91,14.92,14.91,14.23,14.22,14.23,14.8,15.07,13.3,14.14
1884-10-15 00:00:00,7.43,6.59,8.51,8.52,7.9,7.73,8.79,8.73,8.74,8.61,8.0,7.93,7.44,8.28,9.09,7.15,7.78
1884-11-15 00:00:00,1.56,0.38,1.81,1.82,1.74,1.89,2.05,2.64,2.63,3.09,2.34,2.46,1.04,1.84,2.37,0.91,1.43
1884-12-15 00:00:00,1.02,0.16,2.49,2.5,1.69,1.92,2.33,2.46,2.47,2.68,2.14,2.12,1.49,2.21,2.24,1.22,1.77
1885-01-15 00:00:00,-3.88,-4.91,-2.16,-2.15,-2.79,-2.66,-1.71,-1.44,-1.44,-1.14,-2.01,-2.0,-2.87,-2.86,-1.09,-3.98,-3.36
1885-02-15 00:00:00,3.55,1.42,2.44,2.45,2.97,3.31,2.27,4.05,4.04,5.08,4.01,4.73,1.98,2.72,2.85,2.38,2.57
1885-03-15 00:00:00,2.85,1.69,2.47,2.48,2.46,2.61,1.99,2.94,2.94,3.25,2.84,3.59,1.97,2.63,2.57,1.98,2.34
1885-04-15 00:00:00,9.36,8.88,10.23,10.24,9.23,9.38,8.31,9.05,9.05,9.64,9.35,9.6,9.72,9.97,7.88,9.05,9.57
1885-05-15 00:00:00,9.7,9.59,11.27,11.28,9.95,9.66,9.87,9.79,9.79,9.88,9.82,9.94,10.65,10.73,9.38,9.65,10.25
1885-06-15 00:00:00,17.16,16.65,17.84,17.87,16.67,16.42,16.16,16.08,16.07,16.57,16.9,17.27,17.1,17.21,15.26,16.18,16.75
1885-07-15 00:00:00,17.42,16.94,18.49,18.5,17.3,16.83,17.67,17.14,17.15,17.32,17.22,17.53,17.27,17.87,17.2,16.35,17.2
1885-08-15 00:00:00,15.32,14.56,15.18,15.18,14.56,14.27,14.36,14.12,14.12,14.43,14.73,15.15,14.51,14.81,14.12,13.75,14.34
1885-09-15 00:00:00,12.62,12.32,13.79,13.8,12.73,12.56,12.65,12.51,12.51,12.79,12.82,12.9,13.26,13.42,12.18,12.43,12.98
1885-10-15 00:00:00,7.02,6.67,8.28,8.29,7.42,7.41,7.68,7.73,7.73,7.8,7.35,7.34,7.58,7.91,7.5,7.15,7.57
1885-11-15 00:00:00,3.68,2.61,2.47,2.47,2.69,2.76,2.12,2.36,2.36,3.35,3.5,3.86,2.37,2.26,2.28,1.74,2.03
1885-12-15 00:00:00,-0.94,-1.9,0.36,0.37,-0.27,-0.66,0.79,0.92,0.92,0.72,-0.45,-0.35,-0.81,0.22,1.32,-0.82,-0.24
1886-01-15 00:00:00,-1.44,-2.95,-0.96,-0.96,-1.25,-1.01,-0.97,-0.41,-0.41,0.19,-0.34,-0.22,-1.59,-1.11,-0.5,-2.01,-1.51
1886-02-15 00:00:00,-2.34,-3.5,-3.63,-3.64,-2.89,-2.66,-3.82,-2.52,-2.52,-1.79,-1.9,-1.21,-3.15,-3.21,-2.57,-3.55,-3.36
1886-03-15 00:00:00,1.34,-0.39,-0.3,-0.3,0.38,0.5,-0.69,0.79,0.78,2.1,1.31,2.0,-0.46,0.1,0.02,-0.36,-0.11
1886-04-15 00:00:00,9.38,8.57,9.52,9.52,8.73,8.91,8.0,8.2,8.2,8.82,9.2,9.59,8.87,9.32,7.31,8.31,8.88
1886-05-15 00:00:00,12.57,12.28,13.67,13.68,12.71,12.73,12.57,12.63,12.63,13.15,12.78,12.95,12.61,13.41,11.98,12.23,12.88
